car_name,brand,year,mileage_km,location,transmission,fuel_type,engine_size_cc,condition,service_history,accident_history,color,owner_count,price_rp,instalment_rp_monthly
Mitsubishi Xpander,Mitsubishi,2014,154543,Surabaya,Automatic,Diesel,2400,Excellent,Full Service Record,Never,Red,2,225000000,4612500
Mazda Mazda2,Mazda,2024,32383,Bandung,Automatic,Petrol,2400,Good,Partial Service Record,Never,White,1,315000000,6457500
Suzuki Karimun,Suzuki,2022,22477,Depok,Manual,Petrol,1200,Good,Full Service Record,Never,Gray,1,155000000,3177500
Mitsubishi Xpander,Mitsubishi,2021,67930,Medan,Automatic,Petrol,1800,Good,Unknown,Never,Silver,1,225000000,4612500
Suzuki Baleno,Suzuki,2014,145486,Jakarta Barat,Automatic,Petrol,2000,Good,Full Service Record,Unknown,Gray,1,103000000,2111500
Honda HR-V,Honda,2023,53295,Jakarta Utara,Automatic,Petrol,1200,Good,Partial Service Record,Minor Accident,Red,1,195000000,3997500
Suzuki Karimun,Suzuki,2019,116118,Makassar,Automatic,Hybrid,1500,Excellent,Unknown,Minor Accident,Red,1,162000000,3321000
Hyundai Ioniq,Hyundai,2025,40585,Makassar,Automatic,Electric,1500,Good,Full Service Record,Never,White,2,305000000,6252500
Toyota Avanza,Toyota,2023,38027,Makassar,Manual,Petrol,1800,Good,Partial Service Record,Unknown,Blue,2,220000000,4510000
Toyota Innova,Toyota,2012,167966,Medan,Manual,Hybrid,1300,Excellent,Full Service Record,Unknown,Gray,2,120000000,2460000
Daihatsu Terios,Daihatsu,2022,59375,Pekanbaru,Automatic,Petrol,2400,Excellent,Full Service Record,Never,Blue,1,144000000,2952000
Mazda Mazda3,Mazda,2020,51929,Tangerang,Manual,Petrol,1200,Good,Full Service Record,Never,Black,1,252000000,5166000
Suzuki Ertiga,Suzuki,2018,69887,Medan,Automatic,Hybrid,2400,Excellent,Partial Service Record,Never,Red,2,190000000,3895000
Suzuki Karimun,Suzuki,2013,147494,Bekasi,Automatic,Hybrid,1500,Good,Full Service Record,Never,Blue,1,89000000,1824500
Toyota Yaris,Toyota,2024,45970,Bogor,Automatic,Petrol,2400,Good,Full Service Record,Minor Accident,Blue,3,235000000,4817500
Mazda CX-5,Mazda,2011,174039,Bandung,Automatic,Petrol,2400,Excellent,Unknown,Never,White,1,238000000,4879000
Nissan Livina,Nissan,2016,147046,Tangerang,Manual,Petrol,1300,Excellent,Unknown,Never,Red,2,104000000,2132000
Mitsubishi Pajero,Mitsubishi,2025,4000,Medan,Automatic,Diesel,1300,Fair,Partial Service Record,Never,Red,1,270000000,5535000
Mitsubishi Outlander,Mitsubishi,2022,19430,Bandung,Automatic,Diesel,1800,Fair,Partial Service Record,Never,White,1,248000000,5084000
Honda CR-V,Honda,2021,57773,Padang,Automatic,Hybrid,1300,Fair,Partial Service Record,Never,Blue,2,202000000,4141000
Suzuki Karimun,Suzuki,2022,63987,Jakarta Barat,Automatic,Hybrid,1200,Good,Partial Service Record,Minor Accident,White,3,170000000,3485000
Toyota Yaris,Toyota,2025,10746,Bekasi,Automatic,Hybrid,1500,Excellent,Partial Service Record,Never,White,2,282000000,5781000
Mitsubishi Pajero,Mitsubishi,2020,70278,Tangerang,Manual,Diesel,1200,Fair,Full Service Record,Never,Silver,1,210000000,4305000
Toyota Fortuner,Toyota,2025,9808,Bekasi,Automatic,Diesel,1300,Excellent,Full Service Record,Never,Red,2,278000000,5699000
Toyota Innova,Toyota,2011,148267,Bogor,Automatic,Hybrid,1200,Excellent,Full Service Record,Unknown,Silver,2,160000000,3280000
Nissan March,Nissan,2017,128845,Jakarta Utara,Automatic,Petrol,2000,Good,Full Service Record,Never,Red,1,143000000,2931500
Honda CR-V,Honda,2022,35710,Depok,Automatic,Petrol,1200,Excellent,Full Service Record,Never,Black,2,208000000,4264000
Daihatsu Sigra,Daihatsu,2019,103611,Semarang,Manual,Petrol,1500,Good,Partial Service Record,Never,Blue,1,80000000,1640000
Daihatsu Xenia,Daihatsu,2025,10730,Makassar,Automatic,Petrol,2400,Good,Unknown,Never,Black,1,158000000,3239000
Hyundai Ioniq,Hyundai,2014,163226,Jakarta Barat,Automatic,Petrol,1500,Good,Full Service Record,Unknown,Gray,2,165000000,3382500
Daihatsu Ayla,Daihatsu,2012,174178,Depok,Manual,Petrol,1800,Fair,Full Service Record,Never,White,1,70000000,1435000
Toyota Rush,Toyota,2024,22079,Medan,Manual,Diesel,2000,Excellent,Partial Service Record,Never,Silver,3,260000000,5330000
Nissan March,Nissan,2020,76072,Makassar,Manual,Petrol,2000,Excellent,Full Service Record,Never,Silver,1,178000000,3649000
Honda City,Honda,2012,141486,Bandung,Automatic,Hybrid,1000,Excellent,Partial Service Record,Unknown,Blue,2,148000000,3034000
Suzuki XL7,Suzuki,2025,12108,Tangerang,Automatic,Petrol,2000,Excellent,Partial Service Record,Never,White,1,205000000,4202500
Mazda Mazda3,Mazda,2015,162888,Depok,Automatic,Petrol,2400,Excellent,Partial Service Record,Unknown,Black,2,262000000,5371000
Toyota Fortuner,Toyota,2014,167547,Medan,Automatic,Hybrid,1000,Good,Partial Service Record,Unknown,Blue,1,168000000,3444000
Mazda Mazda3,Mazda,2021,42269,Bekasi,Automatic,Petrol,1800,Excellent,Partial Service Record,Never,Gray,1,285000000,5842500
Honda Brio,Honda,2015,141102,Bekasi,Automatic,Hybrid,1000,Fair,Full Service Record,Never,Black,3,134000000,2747000
Daihatsu Ayla,Daihatsu,2018,100463,Surabaya,Automatic,Petrol,2400,Good,Full Service Record,Never,Silver,2,127000000,2603500
Hyundai Stargazer,Hyundai,2022,62709,Semarang,Manual,Electric,1000,Good,Partial Service Record,Never,Gray,2,255000000,5227500
Daihatsu Xenia,Daihatsu,2024,25694,Bekasi,Manual,Petrol,2000,Good,Full Service Record,Never,Gray,3,158000000,3239000
Mazda CX-5,Mazda,2015,127796,Makassar,Manual,Petrol,1800,Good,Partial Service Record,Unknown,Black,2,235000000,4817500
Mitsubishi Xpander,Mitsubishi,2023,59951,Pekanbaru,Automatic,Diesel,1500,Good,Partial Service Record,Never,Red,1,248000000,5084000
Hyundai Creta,Hyundai,2012,171895,Padang,Manual,Petrol,1800,Good,Full Service Record,Never,Black,2,135000000,2767500
Honda City,Honda,2022,70598,Jakarta Utara,Automatic,Hybrid,1300,Excellent,Unknown,Never,White,3,248000000,5084000
Toyota Fortuner,Toyota,2016,137538,Tangerang,Manual,Hybrid,1500,Excellent,Full Service Record,Never,Red,2,188000000,3854000
Mitsubishi Xpander,Mitsubishi,2022,42159,Semarang,Automatic,Diesel,1300,Good,Full Service Record,Unknown,Red,2,248000000,5084000
Hyundai Ioniq,Hyundai,2025,8993,Semarang,Automatic,Electric,1300,Excellent,Partial Service Record,Never,Silver,1,315000000,6457500
Daihatsu Xenia,Daihatsu,2024,58736,Jakarta Barat,Automatic,Petrol,1800,Good,Full Service Record,Never,Silver,1,140000000,2870000
Suzuki Ertiga,Suzuki,2015,135446,Makassar,Automatic,Petrol,1300,Fair,Full Service Record,Unknown,Silver,2,85000000,1742500
Hyundai Stargazer,Hyundai,2020,58344,Makassar,Manual,Petrol,1800,Excellent,Partial Service Record,Unknown,Black,2,208000000,4264000
Nissan March,Nissan,2020,50399,Padang,Automatic,Petrol,1000,Good,Partial Service Record,Never,Black,2,155000000,3177500
Suzuki XL7,Suzuki,2020,89534,Padang,Automatic,Hybrid,1800,Good,Unknown,Unknown,Red,2,180000000,3690000
Mitsubishi Outlander,Mitsubishi,2014,146885,Tangerang,Manual,Diesel,1800,Excellent,Unknown,Never,Red,1,175000000,3587500
Mitsubishi Outlander,Mitsubishi,2013,141742,Jakarta Barat,Manual,Petrol,2000,Excellent,Partial Service Record,Unknown,Silver,2,162000000,3321000
Toyota Innova,Toyota,2014,156142,Jakarta Selatan,Manual,Diesel,1000,Good,Full Service Record,Minor Accident,Black,1,136000000,2788000
Hyundai Stargazer,Hyundai,2020,74875,Pekanbaru,Automatic,Petrol,2000,Excellent,Unknown,Never,Silver,3,208000000,4264000
Hyundai Stargazer,Hyundai,2025,4000,Medan,Automatic,Electric,1000,Excellent,Full Service Record,Never,Black,3,330000000,6765000
Honda Jazz,Honda,2025,22596,Jakarta Selatan,Automatic,Hybrid,1000,Excellent,Full Service Record,Never,Silver,2,262000000,5371000
Hyundai Ioniq,Hyundai,2012,191997,Jakarta Selatan,Automatic,Electric,2000,Good,Full Service Record,Never,Black,1,195000000,3997500
Toyota Innova,Toyota,2017,154077,Bandung,Automatic,Petrol,1500,Excellent,Unknown,Unknown,Black,1,182000000,3731000
Daihatsu Xenia,Daihatsu,2018,96628,Jakarta Barat,Automatic,Petrol,1000,Fair,Full Service Record,Never,Blue,3,79000000,1619500
Mazda CX-5,Mazda,2023,40187,Jakarta Selatan,Manual,Petrol,2000,Excellent,Full Service Record,Never,Black,1,292000000,5986000
Daihatsu Xenia,Daihatsu,2022,76918,Bogor,Manual,Petrol,1800,Good,Full Service Record,Never,Gray,3,122000000,2501000
Nissan Livina,Nissan,2016,123037,Jakarta Selatan,Automatic,Petrol,1500,Fair,Partial Service Record,Unknown,Gray,2,100000000,2050000
Daihatsu Ayla,Daihatsu,2022,52956,Depok,Manual,Petrol,1000,Good,Partial Service Record,Never,Blue,3,120000000,2460000
Honda City,Honda,2013,144648,Semarang,Automatic,Hybrid,1500,Excellent,Full Service Record,Minor Accident,Blue,2,145000000,2972500
Suzuki Ertiga,Suzuki,2018,70901,Depok,Automatic,Petrol,1500,Excellent,Partial Service Record,Never,Silver,2,158000000,3239000
Nissan March,Nissan,2021,76428,Bandung,Automatic,Petrol,1500,Fair,Full Service Record,Unknown,Red,2,137000000,2808500
Mitsubishi Xpander,Mitsubishi,2025,4000,Bandung,Manual,Petrol,2000,Excellent,Unknown,Never,Silver,2,285000000,5842500
Hyundai Ioniq,Hyundai,2017,128531,Depok,Automatic,Petrol,1800,Good,Full Service Record,Unknown,Black,1,178000000,3649000
Honda CR-V,Honda,2013,141813,Bogor,Manual,Petrol,2000,Good,Full Service Record,Unknown,Blue,1,116000000,2378000
Honda HR-V,Honda,2012,172774,Tangerang,Manual,Petrol,1500,Good,Partial Service Record,Unknown,White,2,108000000,2214000
Toyota Yaris,Toyota,2022,41299,Bekasi,Manual,Petrol,2400,Good,Full Service Record,Unknown,Gray,3,208000000,4264000
Nissan March,Nissan,2013,177142,Medan,Automatic,Petrol,1800,Excellent,Unknown,Never,White,3,132000000,2706000
Honda CR-V,Honda,2015,137415,Semarang,Manual,Petrol,2000,Good,Full Service Record,Never,Silver,1,149000000,3054500
Mitsubishi Pajero,Mitsubishi,2024,59263,Bogor,Automatic,Diesel,2400,Good,Full Service Record,Unknown,Red,2,282000000,5781000
Honda CR-V,Honda,2014,124493,Depok,Manual,Hybrid,1000,Good,Unknown,Never,Silver,1,139000000,2849500
Toyota Rush,Toyota,2025,19449,Jakarta Selatan,Automatic,Hybrid,1000,Excellent,Partial Service Record,Never,Black,3,280000000,5740000
Hyundai Creta,Hyundai,2014,144852,Jakarta Barat,Automatic,Petrol,1000,Good,Partial Service Record,Never,Gray,2,158000000,3239000
Toyota Rush,Toyota,2016,125038,Semarang,Automatic,Hybrid,1000,Good,Full Service Record,Unknown,Red,1,170000000,3485000
Daihatsu Sigra,Daihatsu,2025,40726,Jakarta Selatan,Automatic,Petrol,1300,Good,Partial Service Record,Never,Black,2,150000000,3075000
Suzuki Baleno,Suzuki,2011,190535,Jakarta Selatan,Manual,Petrol,1800,Good,Partial Service Record,Never,Silver,2,70000000,1435000
Toyota Calya,Toyota,2015,111344,Jakarta Barat,Automatic,Hybrid,1000,Fair,Full Service Record,Never,Blue,2,180000000,3690000
Nissan Livina,Nissan,2017,117603,Semarang,Automatic,Petrol,1000,Good,Full Service Record,Never,White,3,117000000,2398500
Daihatsu Terios,Daihatsu,2015,124518,Padang,Automatic,Petrol,1300,Excellent,Full Service Record,Never,Red,1,73000000,1496500
Nissan Livina,Nissan,2015,123479,Jakarta Selatan,Automatic,Petrol,1000,Good,Full Service Record,Never,Black,1,105000000,2152500
Mazda Mazda2,Mazda,2013,174825,Depok,Automatic,Petrol,1500,Excellent,Full Service Record,Never,Black,1,185000000,3792500
Daihatsu Xenia,Daihatsu,2012,157157,Pekanbaru,Manual,Petrol,1500,Excellent,Partial Service Record,Never,Red,2,70000000,1435000
Toyota Calya,Toyota,2014,137164,Jakarta Selatan,Automatic,Petrol,1500,Good,Full Service Record,Never,Silver,3,139000000,2849500
Nissan March,Nissan,2021,60583,Surabaya,Automatic,Petrol,2000,Excellent,Partial Service Record,Never,Blue,2,182000000,3731000
Nissan Livina,Nissan,2015,149031,Padang,Manual,Petrol,1200,Excellent,Full Service Record,Never,Blue,2,95000000,1947500
Daihatsu Sigra,Daihatsu,2011,190468,Jakarta Selatan,Manual,Petrol,1300,Good,Unknown,Never,Red,1,70000000,1435000
Nissan Livina,Nissan,2012,163780,Bogor,Automatic,Petrol,2400,Good,Partial Service Record,Never,Black,2,118000000,2419000
Mitsubishi Xpander,Mitsubishi,2022,43100,Tangerang,Automatic,Petrol,1200,Fair,Unknown,Never,Red,1,228000000,4674000
Mitsubishi Xpander,Mitsubishi,2018,75117,Bogor,Manual,Diesel,2400,Good,Full Service Record,Never,Gray,3,248000000,5084000
Honda Mobilio,Honda,2014,130322,Jakarta Utara,Automatic,Hybrid,2000,Good,Full Service Record,Never,Blue,2,170000000,3485000
Hyundai Stargazer,Hyundai,2012,156221,Bogor,Automatic,Electric,1200,Excellent,Partial Service Record,Never,Black,1,208000000,4264000
Honda CR-V,Honda,2019,81312,Makassar,Manual,Hybrid,2400,Excellent,Partial Service Record,Never,Red,2,242000000,4961000
Daihatsu Ayla,Daihatsu,2017,143761,Padang,Automatic,Petrol,2000,Good,Partial Service Record,Never,Gray,1,71000000,1455500
Hyundai Creta,Hyundai,2014,131841,Jakarta Barat,Automatic,Petrol,2000,Excellent,Full Service Record,Minor Accident,Silver,1,175000000,3587500
Mitsubishi Xpander,Mitsubishi,2017,102675,Jakarta Selatan,Manual,Petrol,2000,Excellent,Partial Service Record,Never,Blue,1,198000000,4059000
Mazda CX-5,Mazda,2011,143056,Tangerang,Automatic,Petrol,2000,Excellent,Unknown,Never,Black,1,202000000,4141000
Honda City,Honda,2016,130810,Jakarta Utara,Manual,Hybrid,2400,Good,Full Service Record,Never,White,1,182000000,3731000
Toyota Calya,Toyota,2013,127605,Surabaya,Automatic,Petrol,1800,Good,Full Service Record,Never,Silver,1,178000000,3649000
Toyota Yaris,Toyota,2021,43681,Surabaya,Manual,Diesel,1800,Excellent,Full Service Record,Never,Silver,2,228000000,4674000
Mazda Mazda2,Mazda,2012,186762,Padang,Manual,Petrol,1200,Good,Full Service Record,Never,Silver,1,158000000,3239000
Daihatsu Ayla,Daihatsu,2018,58111,Bandung,Automatic,Petrol,1500,Excellent,Unknown,Never,Blue,1,110000000,2255000
Mitsubishi Xpander,Mitsubishi,2015,133726,Pekanbaru,Automatic,Diesel,1500,Excellent,Full Service Record,Never,White,1,175000000,3587500
Nissan Livina,Nissan,2015,146416,Depok,Manual,Petrol,1300,Excellent,Full Service Record,Unknown,Black,2,101000000,2070500
Suzuki XL7,Suzuki,2013,183457,Jakarta Selatan,Automatic,Hybrid,1000,Good,Full Service Record,Never,Black,1,113000000,2316500
Toyota Innova,Toyota,2020,55438,Medan,Automatic,Petrol,1300,Excellent,Full Service Record,Never,Gray,2,185000000,3792500
Mitsubishi Outlander,Mitsubishi,2013,144767,Bekasi,Manual,Petrol,1000,Good,Partial Service Record,Never,Gray,2,158000000,3239000
Honda HR-V,Honda,2011,212479,Jakarta Barat,Manual,Hybrid,1200,Excellent,Full Service Record,Never,Silver,3,129000000,2644500
Honda CR-V,Honda,2019,83548,Medan,Automatic,Hybrid,1300,Excellent,Full Service Record,Unknown,Silver,2,198000000,4059000
Toyota Calya,Toyota,2025,4000,Makassar,Automatic,Petrol,1000,Good,Full Service Record,Unknown,White,1,222000000,4551000
Mazda Mazda3,Mazda,2013,143085,Makassar,Automatic,Petrol,2000,Good,Full Service Record,Minor Accident,White,1,198000000,4059000
Daihatsu Ayla,Daihatsu,2016,102493,Surabaya,Manual,Petrol,2400,Excellent,Unknown,Never,Blue,1,100000000,2050000
Suzuki Ertiga,Suzuki,2017,100085,Medan,Automatic,Petrol,1000,Good,Full Service Record,Minor Accident,Black,1,78000000,1599000
Daihatsu Terios,Daihatsu,2017,127587,Jakarta Selatan,Manual,Petrol,2400,Excellent,Partial Service Record,Never,White,3,81000000,1660500
Mazda Mazda3,Mazda,2011,195979,Surabaya,Automatic,Petrol,1000,Excellent,Full Service Record,Never,Red,1,172000000,3526000
Nissan Livina,Nissan,2023,14863,Pekanbaru,Automatic,Petrol,1300,Fair,Partial Service Record,Minor Accident,Silver,1,172000000,3526000
Mitsubishi Xpander,Mitsubishi,2017,111862,Depok,Automatic,Petrol,2400,Good,Partial Service Record,Unknown,Silver,1,185000000,3792500
Hyundai Ioniq,Hyundai,2015,124761,Surabaya,Automatic,Petrol,2400,Fair,Full Service Record,Never,Gray,1,160000000,3280000
Honda HR-V,Honda,2022,62083,Bekasi,Automatic,Petrol,2000,Excellent,Full Service Record,Never,Black,3,228000000,4674000
Nissan X-Trail,Nissan,2023,33185,Bekasi,Manual,Petrol,2000,Excellent,Partial Service Record,Never,Silver,1,195000000,3997500
Hyundai Stargazer,Hyundai,2013,162687,Pekanbaru,Automatic,Petrol,1000,Good,Full Service Record,Never,Blue,1,150000000,3075000
Hyundai Creta,Hyundai,2025,9145,Medan,Manual,Electric,1800,Excellent,Full Service Record,Never,Blue,3,335000000,6867500
Honda Mobilio,Honda,2011,140632,Bogor,Manual,Petrol,2400,Fair,Full Service Record,Never,Black,2,89000000,1824500
Mazda CX-5,Mazda,2017,108846,Pekanbaru,Automatic,Petrol,1800,Excellent,Full Service Record,Never,White,2,248000000,5084000
Daihatsu Sigra,Daihatsu,2020,49108,Surabaya,Automatic,Petrol,1300,Excellent,Partial Service Record,Minor Accident,Gray,1,114000000,2337000
Daihatsu Ayla,Daihatsu,2018,109448,Depok,Automatic,Petrol,1000,Excellent,Full Service Record,Unknown,Silver,1,78000000,1599000
Nissan X-Trail,Nissan,2011,167763,Jakarta Selatan,Automatic,Petrol,2000,Excellent,Unknown,Never,Red,2,103000000,2111500
Mitsubishi Xpander,Mitsubishi,2012,157109,Jakarta Selatan,Manual,Petrol,1800,Excellent,Full Service Record,Never,Silver,2,143000000,2931500
Daihatsu Sigra,Daihatsu,2022,47839,Pekanbaru,Automatic,Petrol,2400,Fair,Partial Service Record,Never,Black,1,120000000,2460000
Mazda Mazda2,Mazda,2016,130400,Jakarta Utara,Automatic,Petrol,2400,Excellent,Full Service Record,Never,Black,1,252000000,5166000
Honda Jazz,Honda,2011,176944,Padang,Automatic,Hybrid,1200,Good,Unknown,Minor Accident,Blue,1,132000000,2706000
Mitsubishi Xpander,Mitsubishi,2025,41559,Jakarta Utara,Automatic,Diesel,1000,Good,Partial Service Record,Never,Blue,2,258000000,5289000
Nissan X-Trail,Nissan,2024,53678,Makassar,Automatic,Petrol,2000,Fair,Partial Service Record,Never,Black,3,170000000,3485000
Nissan Livina,Nissan,2018,126878,Padang,Automatic,Petrol,1000,Excellent,Partial Service Record,Never,Red,1,136000000,2788000
Daihatsu Ayla,Daihatsu,2012,163782,Semarang,Automatic,Petrol,1000,Good,Partial Service Record,Never,Black,2,70000000,1435000
Toyota Calya,Toyota,2014,117324,Pekanbaru,Automatic,Petrol,1000,Fair,Partial Service Record,Never,White,2,116000000,2378000
Daihatsu Sigra,Daihatsu,2013,177961,Bandung,Automatic,Petrol,1800,Fair,Partial Service Record,Never,Black,3,70000000,1435000
Daihatsu Xenia,Daihatsu,2018,88505,Pekanbaru,Automatic,Petrol,1500,Excellent,Full Service Record,Never,Red,1,119000000,2439500
Honda Jazz,Honda,2023,36686,Jakarta Barat,Manual,Petrol,1000,Good,Full Service Record,Minor Accident,Silver,1,180000000,3690000
Nissan X-Trail,Nissan,2012,179309,Semarang,Automatic,Petrol,1300,Excellent,Partial Service Record,Never,Red,1,88000000,1804000
Toyota Calya,Toyota,2015,103120,Semarang,Manual,Hybrid,1500,Good,Full Service Record,Never,White,1,172000000,3526000
Suzuki Ertiga,Suzuki,2013,185324,Pekanbaru,Automatic,Petrol,1200,Excellent,Unknown,Never,Blue,2,70000000,1435000
Mazda CX-5,Mazda,2018,111749,Jakarta Barat,Automatic,Petrol,1000,Excellent,Partial Service Record,Never,Red,1,242000000,4961000
Suzuki XL7,Suzuki,2011,186340,Makassar,Automatic,Hybrid,1800,Good,Full Service Record,Minor Accident,Gray,2,123000000,2521500
Toyota Agya,Toyota,2017,124036,Padang,Automatic,Hybrid,1300,Good,Unknown,Minor Accident,Gray,1,192000000,3936000
Suzuki Karimun,Suzuki,2013,166025,Depok,Automatic,Petrol,1000,Fair,Partial Service Record,Never,Black,1,70000000,1435000
Honda HR-V,Honda,2016,122102,Makassar,Manual,Hybrid,1200,Good,Full Service Record,Unknown,Black,1,175000000,3587500
Daihatsu Terios,Daihatsu,2018,90460,Semarang,Manual,Petrol,2400,Good,Full Service Record,Never,Red,3,97000000,1988500
Suzuki Karimun,Suzuki,2013,142695,Jakarta Barat,Automatic,Hybrid,1000,Excellent,Partial Service Record,Never,Black,2,137000000,2808500
Mazda CX-5,Mazda,2021,65169,Jakarta Utara,Automatic,Petrol,1300,Excellent,Partial Service Record,Never,Blue,2,285000000,5842500
Honda CR-V,Honda,2023,42501,Depok,Automatic,Hybrid,1500,Good,Full Service Record,Unknown,Silver,1,238000000,4879000
Daihatsu Xenia,Daihatsu,2016,139497,Bekasi,Manual,Petrol,2000,Fair,Full Service Record,Unknown,Gray,1,70000000,1435000
Toyota Fortuner,Toyota,2011,183611,Pekanbaru,Automatic,Hybrid,2000,Excellent,Full Service Record,Never,White,1,190000000,3895000
Mazda Mazda2,Mazda,2017,92642,Depok,Manual,Petrol,1200,Excellent,Full Service Record,Never,Gray,1,248000000,5084000
Mitsubishi Outlander,Mitsubishi,2023,7627,Bogor,Automatic,Petrol,1200,Fair,Partial Service Record,Never,Black,2,218000000,4469000
Daihatsu Sigra,Daihatsu,2017,105703,Tangerang,Manual,Petrol,2000,Excellent,Full Service Record,Never,Red,1,94000000,1927000
Nissan March,Nissan,2015,131505,Depok,Manual,Petrol,2000,Good,Full Service Record,Minor Accident,Black,1,99000000,2029500
Toyota Yaris,Toyota,2017,106234,Bogor,Automatic,Hybrid,1300,Excellent,Full Service Record,Unknown,White,1,202000000,4141000
Daihatsu Xenia,Daihatsu,2015,104450,Surabaya,Automatic,Petrol,1300,Good,Partial Service Record,Never,Gray,2,78000000,1599000
Honda HR-V,Honda,2014,163340,Pekanbaru,Automatic,Hybrid,2400,Fair,Full Service Record,Never,Silver,2,160000000,3280000
Hyundai Ioniq,Hyundai,2019,103307,Jakarta Utara,Manual,Electric,2000,Excellent,Full Service Record,Never,White,1,282000000,5781000
Toyota Rush,Toyota,2019,69180,Bogor,Manual,Diesel,2400,Excellent,Full Service Record,Never,Gray,2,222000000,4551000
Daihatsu Terios,Daihatsu,2014,158507,Pekanbaru,Manual,Petrol,1300,Excellent,Unknown,Minor Accident,Black,3,70000000,1435000
Daihatsu Xenia,Daihatsu,2024,41150,Makassar,Automatic,Petrol,1000,Good,Full Service Record,Never,White,3,124000000,2542000
Nissan March,Nissan,2025,12692,Surabaya,Automatic,Petrol,2000,Good,Full Service Record,Never,Silver,2,215000000,4407500
Hyundai Creta,Hyundai,2012,150927,Semarang,Automatic,Electric,1800,Excellent,Full Service Record,Never,Gray,1,220000000,4510000
Hyundai Creta,Hyundai,2018,125040,Bogor,Manual,Petrol,1200,Excellent,Full Service Record,Unknown,Red,2,205000000,4202500
Daihatsu Sigra,Daihatsu,2018,102856,Makassar,Automatic,Petrol,1300,Good,Full Service Record,Never,White,3,76000000,1558000
Suzuki Ertiga,Suzuki,2011,175481,Bandung,Manual,Petrol,2400,Excellent,Full Service Record,Unknown,Black,3,102000000,2091000
Nissan March,Nissan,2015,145911,Medan,Automatic,Petrol,1200,Good,Partial Service Record,Never,Silver,1,95000000,1947500
Toyota Rush,Toyota,2023,65199,Jakarta Utara,Manual,Hybrid,1800,Good,Full Service Record,Minor Accident,Blue,2,240000000,4920000
Mazda Mazda2,Mazda,2022,39051,Semarang,Automatic,Petrol,1000,Excellent,Full Service Record,Unknown,Silver,1,290000000,5945000
Daihatsu Terios,Daihatsu,2017,120445,Bekasi,Automatic,Petrol,1500,Good,Full Service Record,Minor Accident,Blue,3,83000000,1701500
Hyundai Stargazer,Hyundai,2018,130976,Padang,Automatic,Electric,2000,Good,Unknown,Never,Red,1,258000000,5289000
Daihatsu Xenia,Daihatsu,2023,15901,Semarang,Automatic,Petrol,1800,Good,Full Service Record,Never,Red,1,145000000,2972500
Mitsubishi Pajero,Mitsubishi,2021,50113,Tangerang,Automatic,Petrol,2000,Good,Partial Service Record,Never,Gray,1,235000000,4817500
Honda Brio,Honda,2018,85238,Medan,Manual,Petrol,1300,Excellent,Unknown,Never,Black,1,170000000,3485000
Toyota Fortuner,Toyota,2017,105150,Surabaya,Automatic,Hybrid,1000,Excellent,Unknown,Never,Black,1,198000000,4059000
Mitsubishi Outlander,Mitsubishi,2023,32220,Makassar,Automatic,Diesel,1000,Good,Partial Service Record,Never,Blue,1,258000000,5289000
Mitsubishi Xpander,Mitsubishi,2022,53414,Tangerang,Automatic,Petrol,1800,Good,Full Service Record,Never,Silver,1,248000000,5084000
Honda HR-V,Honda,2013,141233,Tangerang,Manual,Hybrid,1200,Good,Full Service Record,Never,Blue,2,152000000,3116000
Mitsubishi Pajero,Mitsubishi,2019,72792,Depok,Automatic,Diesel,2000,Good,Full Service Record,Never,Silver,2,260000000,5330000
Mitsubishi Xpander,Mitsubishi,2021,65423,Bekasi,Manual,Petrol,1200,Excellent,Full Service Record,Never,White,1,235000000,4817500
Hyundai Stargazer,Hyundai,2012,170788,Bandung,Manual,Petrol,1500,Excellent,Full Service Record,Unknown,Silver,1,112000000,2296000
Nissan March,Nissan,2023,51733,Surabaya,Automatic,Petrol,1000,Good,Full Service Record,Never,Silver,1,162000000,3321000
Nissan X-Trail,Nissan,2018,103368,Semarang,Automatic,Petrol,1500,Good,Full Service Record,Never,White,1,146000000,2993000
Toyota Rush,Toyota,2024,37893,Jakarta Barat,Manual,Petrol,1200,Good,Partial Service Record,Never,Blue,1,210000000,4305000
Daihatsu Ayla,Daihatsu,2016,99426,Depok,Automatic,Petrol,1200,Good,Unknown,Never,Blue,1,70000000,1435000
Toyota Yaris,Toyota,2014,137098,Jakarta Utara,Manual,Hybrid,1000,Good,Full Service Record,Never,Black,1,134000000,2747000
Daihatsu Terios,Daihatsu,2021,93270,Jakarta Barat,Automatic,Petrol,1500,Fair,Partial Service Record,Minor Accident,Blue,1,94000000,1927000
Suzuki Ertiga,Suzuki,2022,55057,Surabaya,Manual,Petrol,1200,Fair,Full Service Record,Never,Black,2,120000000,2460000
Daihatsu Sigra,Daihatsu,2021,73453,Makassar,Automatic,Petrol,1500,Good,Unknown,Never,Red,1,95000000,1947500
Suzuki Karimun,Suzuki,2021,64909,Makassar,Manual,Petrol,1500,Excellent,Partial Service Record,Never,Blue,3,152000000,3116000
Suzuki XL7,Suzuki,2016,127656,Surabaya,Manual,Petrol,1300,Excellent,Unknown,Unknown,White,1,79000000,1619500
Mazda CX-5,Mazda,2019,79843,Bandung,Automatic,Petrol,1000,Good,Partial Service Record,Never,White,2,235000000,4817500
Hyundai Ioniq,Hyundai,2025,76288,Medan,Automatic,Electric,1800,Fair,Unknown,Never,White,3,292000000,5986000
